AspectTerm,AspectCategory,,
business,Buisness,,
business practices,Buisness,,
deal,Buisness,,
deal number,Buisness,,
demand charge,Buisness,,
trading,Buisness,,
transmission deal,Buisness,,
company,Company,,
corp,Company,,
interim ceo,Company,,
management team,Company,,
standards,Company,,
list index,Data,,
data,Data,,
enron,Enron,,
proceedings collectively enron,Enron,,
week wscc electronic,Enron,,
light load cob,Enron,,
light load midc,Enron,,
help,Issue,,
investigate price manipulation,Issue,,
legal cost burden,Issue,,
request,Issue,,
air hotel,Life,,
car rental,Life,,
cell phone,Life,,
date,Life,,
good,Life,,
home,Life,,
love,Life,,
new driver license,Life,,
phone number,Life,,
ski deal air,Life,,
western caribbean cruise,Life,,
market assessment database,Market,,
market interface,Market,,
marketing desk,Market,,
credit card,Money,,
major credit card,Money,,
cara,Name,,
name,Name,,
semperger cara,Name,,
access violation,Network,,
build route,Network,,
customer support center,Network,,
error message,Network,,
global id,Network,,
local area network,Network,,
original delivery point,Network,,
parking mass transit,Network,,
particular transmission model,Network,,
path confirmation,Network,,
path cut,Network,,
pipeline issue quickly,Network,,
por pod,Network,,
real time,Network,,
real time group,Network,,
require secure access,Network,,
route,Network,,
sort global id,Network,,
special terminal server,Network,,
system,Network,,
information,Data,,
page,Data,,
press release ken,Data,,
additional information,Data,,
general information,Data,,
outside houston,Place,,
west,Place,,
energy,Power ,,
enpower,Power ,,
nerc,Power,,
nuclear generation transmission,Power,,
power,Power,,
pro forma tariff,Power ,,
production,Power ,,
new application,Product,,
new version,Product,,
short application,Product,,
approval,Work,,
call,Work,,
complete registration process,Work,,
confirmation report,Work,,
contact,Work,,
development process,Work,,
mail order,Work,,
meeting,Work,,
oasis standards collaborative,Work,,
preschedule workspace,Work,,
regular access card,Work,,
review use distribution,Work,,
scheduling,Work,,
tag sorting,Work,,
transitional assistance program,Work,,
uncover anticompetitive behavior,Work,,
work,Work,,
